"Country","15-19","20-24","25-29","30-34","35-39","40-44","45-49","Max","STD"
"Belarus",0.6912793,3.259282,3.1354185,3.6768445,2.898067,4.6394295,6.0793715,6.0793715,1.78574170340186
"Bosnia and Herzegovina",3.1281365,3.6581515,4.2501515,6.3832655,6.72305,7.9339695,5.9228385,7.9339695,1.8676249944171
"Georgia",NA,NA,NA,NA,NA,NA,NA,-Inf,NA
"Kazakhstan",8.218197,13.56178,15.27282,15.62908,15.86368,15.71667,12.75363,15.86368,2.65237244965475
"Kosovo",17.11313,13.433765,13.785785,16.99595,20.05054,23.070545,25.48415,25.48415,4.87044329101494
"Kyrgyzstan",24.05004,33.07749,31.25285,32.44509,31.93751,27.18799,28.22666,33.07749,3.30586439639361
"Montenegro",8.1089735,8.3113495,4.7744365,9.6334165,7.8535215,8.281399,6.1773465,9.6334165,1.65114471615635
"North Macedonia",11.27374,7.630396,7.47941,9.414182,8.059516,10.18942,15.10578,15.10578,3.10775002062411
"Serbia",1.719663,1.164685,0.7210551,0.6605535,2.197228,1.614074,2.437798,2.437798,0.718797807788176
"Turkmenistan",45.90295,50.57451,55.44236,50.79168,46.85812,45.65186,37.5737,55.44236,5.89039693462103
"Uzbekistan",31.52986,38.16717,42.38341,44.91774,44.27526,38.67563,33.89339,44.91774,5.15865245033457
