freq,perp,unit,geo\TIME_PERIOD	2021 
A,FAM_REL,PC,AT	3.6 
A,FAM_REL,PC,BE	3.6 
A,FAM_REL,PC,BG	1.6 
A,FAM_REL,PC,DK	4.7 
A,FAM_REL,PC,EE	2.3 
A,FAM_REL,PC,EL	2.8 
A,FAM_REL,PC,ES	2.7 
A,FAM_REL,PC,FI	5.7 
A,FAM_REL,PC,FR	5.2 
A,FAM_REL,PC,HR	1.6 
A,FAM_REL,PC,LT	: u
A,FAM_REL,PC,LV	0.6 u
A,FAM_REL,PC,ME	: u
A,FAM_REL,PC,MT	2.0 
A,FAM_REL,PC,NL	4.7 
A,FAM_REL,PC,PL	0.7 u
A,FAM_REL,PC,PT	1.3 
A,FAM_REL,PC,RS	: u
A,FAM_REL,PC,SI	2.1 u
A,FAM_REL,PC,SK	3.0 
A,FAM_REL,PC,XK	: u
A,KNW,PC,AT	6.0 
A,KNW,PC,BE	7.1 
A,KNW,PC,BG	2.1 
A,KNW,PC,DK	9.6 
A,KNW,PC,EE	3.9 
A,KNW,PC,EL	8.0 
A,KNW,PC,ES	5.7 
A,KNW,PC,FI	11.0 
A,KNW,PC,FR	9.1 
A,KNW,PC,HR	3.6 
A,KNW,PC,LT	0.9 u
A,KNW,PC,LV	1.5 
A,KNW,PC,ME	: u
A,KNW,PC,MT	3.5 
A,KNW,PC,NL	9.4 
A,KNW,PC,PL	1.8 
A,KNW,PC,PT	3.0 
A,KNW,PC,RS	0.6 u
A,KNW,PC,SI	4.8 
A,KNW,PC,SK	6.8 
A,KNW,PC,XK	: u
A,KNW_OTH,PC,AT	3.0 
A,KNW_OTH,PC,BE	4.0 
A,KNW_OTH,PC,BG	: u
A,KNW_OTH,PC,DK	5.5 
A,KNW_OTH,PC,EE	1.9 
A,KNW_OTH,PC,EL	4.1 
A,KNW_OTH,PC,ES	3.1 
A,KNW_OTH,PC,FI	6.3 
A,KNW_OTH,PC,FR	4.7 
A,KNW_OTH,PC,HR	2.1 
A,KNW_OTH,PC,LT	: u
A,KNW_OTH,PC,LV	0.7 u
A,KNW_OTH,PC,ME	: u
A,KNW_OTH,PC,MT	1.6 
A,KNW_OTH,PC,NL	5.2 
A,KNW_OTH,PC,PL	0.7 u
A,KNW_OTH,PC,PT	1.7 
A,KNW_OTH,PC,RS	: u
A,KNW_OTH,PC,SI	3.0 u
A,KNW_OTH,PC,SK	4.3 
A,KNW_OTH,PC,XK	: u
A,PERP,PC,AT	7.1 
A,PERP,PC,BE	8.4 
A,PERP,PC,BG	2.2 
A,PERP,PC,DK	12.4 
A,PERP,PC,EE	5.5 
A,PERP,PC,EL	8.1 
A,PERP,PC,ES	6.8 
A,PERP,PC,FI	13.7 
A,PERP,PC,FR	11.3 
A,PERP,PC,HR	4.5 
A,PERP,PC,LT	1.6 u
A,PERP,PC,LV	2.2 
A,PERP,PC,ME	: u
A,PERP,PC,MT	4.5 
A,PERP,PC,NL	12.3 
A,PERP,PC,PL	1.8 
A,PERP,PC,PT	3.5 
A,PERP,PC,RS	0.7 u
A,PERP,PC,SI	6.6 
A,PERP,PC,SK	8.4 
A,PERP,PC,XK	: u
A,PERP_M,PC,AT	6.7 
A,PERP_M,PC,BE	8.0 
A,PERP_M,PC,BG	1.8 
A,PERP_M,PC,DK	10.8 
A,PERP_M,PC,EE	5.4 
A,PERP_M,PC,EL	7.8 
A,PERP_M,PC,ES	6.5 
A,PERP_M,PC,FI	12.9 
A,PERP_M,PC,FR	10.0 
A,PERP_M,PC,HR	4.1 
A,PERP_M,PC,LT	1.3 u
A,PERP_M,PC,LV	2.1 
A,PERP_M,PC,ME	: u
A,PERP_M,PC,MT	4.2 
A,PERP_M,PC,NL	11.1 
A,PERP_M,PC,PL	1.6 
A,PERP_M,PC,PT	3.3 
A,PERP_M,PC,RS	: u
A,PERP_M,PC,SI	5.4 
A,PERP_M,PC,SK	7.1 
A,PERP_M,PC,XK	: u
A,STRNG,PC,AT	1.0 
A,STRNG,PC,BE	1.4 
A,STRNG,PC,BG	: u
A,STRNG,PC,DK	2.1 
A,STRNG,PC,EE	1.8 
A,STRNG,PC,EL	1.5 
A,STRNG,PC,ES	1.2 
A,STRNG,PC,FI	2.8 
A,STRNG,PC,FR	1.6 
A,STRNG,PC,HR	0.7 u
A,STRNG,PC,LT	: u
A,STRNG,PC,LV	0.9 u
A,STRNG,PC,ME	: u
A,STRNG,PC,MT	0.9 u
A,STRNG,PC,NL	2.5 
A,STRNG,PC,PL	: u
A,STRNG,PC,PT	0.4 u
A,STRNG,PC,RS	: u
A,STRNG,PC,SI	: u
A,STRNG,PC,SK	1.2 
A,STRNG,PC,XK	: u
