freq,pers_serv,unit,geo\TIME_PERIOD	2021 
A,ANY,PC,AT	61.7 
A,ANY,PC,BE	62.5 
A,ANY,PC,BG	59.1 u
A,ANY,PC,DK	44.0 
A,ANY,PC,EE	40.9 
A,ANY,PC,EL	56.8 
A,ANY,PC,ES	39.9 
A,ANY,PC,FI	33.3 
A,ANY,PC,FR	56.6 
A,ANY,PC,HR	37.5 
A,ANY,PC,LT	45.6 u
A,ANY,PC,LV	47.8 u
A,ANY,PC,ME	: u
A,ANY,PC,MT	63.6 
A,ANY,PC,NL	64.3 
A,ANY,PC,PL	64.2 
A,ANY,PC,PT	26.8 
A,ANY,PC,RS	: u
A,ANY,PC,SI	39.3 u
A,ANY,PC,SK	: u
A,ANY,PC,XK	: u
A,NOFCL_SCH,PC,AT	57.3 
A,NOFCL_SCH,PC,BE	60.8 
A,NOFCL_SCH,PC,BG	57.9 u
A,NOFCL_SCH,PC,DK	41.8 
A,NOFCL_SCH,PC,EE	38.7 
A,NOFCL_SCH,PC,EL	55.4 
A,NOFCL_SCH,PC,ES	38.9 
A,NOFCL_SCH,PC,FI	31.5 
A,NOFCL_SCH,PC,FR	54.4 
A,NOFCL_SCH,PC,HR	36.3 
A,NOFCL_SCH,PC,LT	: u
A,NOFCL_SCH,PC,LV	45.1 u
A,NOFCL_SCH,PC,ME	: u
A,NOFCL_SCH,PC,MT	62.9 
A,NOFCL_SCH,PC,NL	61.8 
A,NOFCL_SCH,PC,PL	60.7 
A,NOFCL_SCH,PC,PT	23.8 
A,NOFCL_SCH,PC,RS	: u
A,NOFCL_SCH,PC,SI	38.1 u
A,NOFCL_SCH,PC,SK	: u
A,NOFCL_SCH,PC,XK	: u
A,OFCL_SCH,PC,AT	18.4 
A,OFCL_SCH,PC,BE	14.5 
A,OFCL_SCH,PC,BG	: u
A,OFCL_SCH,PC,DK	10.5 
A,OFCL_SCH,PC,EE	: u
A,OFCL_SCH,PC,EL	7.5 
A,OFCL_SCH,PC,ES	6.5 u
A,OFCL_SCH,PC,FI	8.8 u
A,OFCL_SCH,PC,FR	14.6 
A,OFCL_SCH,PC,HR	: u
A,OFCL_SCH,PC,LT	: u
A,OFCL_SCH,PC,LV	: u
A,OFCL_SCH,PC,ME	: u
A,OFCL_SCH,PC,MT	: u
A,OFCL_SCH,PC,NL	21.7 
A,OFCL_SCH,PC,PL	: u
A,OFCL_SCH,PC,PT	: u
A,OFCL_SCH,PC,RS	: u
A,OFCL_SCH,PC,SI	: u
A,OFCL_SCH,PC,SK	: u
A,OFCL_SCH,PC,XK	: u
